   posx(m)        px/pz(rad)         posy(m)       py/pz(rad)         posz(m)           pz/pz(rad)   
  +0.0000000         +0.0000000         +0.0000000         +0.0000000       +0.0018398966       -0.00023793507       
+0.0020292260       -0.047106620       +0.00038824391       -0.026859026       -0.0037150417       -0.00040636657       
+0.00017682817       +0.014408553       -0.00037830204       -0.016005076       +0.0037008973       +0.0021537733       
-0.0019689126       +0.057893154       -0.0012308948       +0.055236461       -0.0015843579       -0.0019547603       
-0.0016082542       +0.052031506       +0.0020345795       -0.055429756       +0.0036716867       -0.0021201433       
-0.0016829269       +0.077588278       -0.00015784128       +0.014756379       +0.0032541225       +0.0023837869       
-0.00078687314       +0.032716844       +0.0024628629       -0.080267581       +0.0020906330       +0.0014655184       
+0.00085699902       -0.039758295       +0.00077630296       +0.0041618716       +0.0030601100       +0.00083675408       
-0.00085941251       +0.018865662       +0.0016822314       -0.075756837       -0.00046063249       -0.00013512811       
+0.00088145458       -0.027475345       +0.00049981497       -0.047694309       +0.0029358972       +0.00085279283       
+0.0010164627       -0.010740116       -0.0014170716       +0.060020635       -0.0014101246       +3.5559374e-07       
-0.00094389625       +0.043848063       -0.0022160418       +0.073689760       -0.00038161848       +0.00055763959       
+0.0018500040       -0.053682562       -0.00050198924       -0.0080986968       +0.0019832494       -0.0012512519       
-0.0023139007       +0.077419442       +0.00015946198       +0.011458983       +0.0022881233       -0.00050383317       
+0.0013128982       -0.027224969       -0.00043004206       -0.012813877       -0.0013930520       -0.0010262759       
+0.00056287007       +0.0016438914       +0.0018780052       -0.045117256       -0.0022634740       -0.0022048569       
+0.00067030394       -0.018086899       -0.0025430651       +0.084927218       +0.0018707513       -0.0014494164       
+0.00027841164       -0.018207259       -0.0013248574       +0.069743307       -0.00016829446       +0.0011806362       
-0.0014677759       +0.019290303       +0.00081435293       -0.029960696       -0.0027182326       +0.0013422282       
-0.00036485580       +0.010116552       +0.0024401925       -0.089524568       +0.0026126222       -0.0018701860       
+0.0012822911       -0.036977982       +0.0019056686       -0.042128485       +0.0026068837       +0.0013755794       
-0.00025765164       -0.023743023       -0.00099975169       +0.034558886       -0.0030069902       +0.00060317649       
+0.00010533272       +0.017893932       -0.0021057047       +0.067975898       +0.00051626766       -0.0024649552       
-0.0021406990       +0.072501713       +0.0014937017       -0.051571303       -0.0016047550       -0.0024632935       
+0.0016081328       -0.040744442       +0.0018175423       -0.045866085       -0.00015143096       -0.0016206818       
-0.00048512737       -0.013584392       -0.00010160643       +0.021437451       +0.0013465538       +0.0014684685       
-0.0013001332       +0.018629717       -0.00061022935       +0.038305974       +0.0013316804       -0.0018626014       
-0.0010124870       +0.026459024       +0.0017797915       -0.033975936       -0.00071742632       -0.00031017321       
-0.0011767982       +0.0091594692       +0.00014551661       -0.018747742       -0.00092915240       -0.0014624296       
-0.0014892319       +0.020091073       -0.00033812771       +0.021002694       +0.0025522503       +0.00096597683       
-0.0022184877       +0.087263342       -0.00030667914       +0.015625431       +1.7167693e-05       -0.0023092783       
-0.0022998196       +0.059982334       +0.00089211805       -0.021895585       +0.0019090959       -0.0012528698       
+0.00066763161       -0.00077776826       -0.00083246434       +0.050639766       -0.0019052836       -0.0013500570       
-0.0025351104       +0.075610721       +0.00016989767       -0.015414754       +0.0036751118       -0.00055429112       
+0.0022837348       -0.055132327       +0.00035738570       -0.017357855       +0.0037726049       +0.0016536889       
-0.0015856977       +0.074773388       -0.00083863294       +0.021257788       +0.00011439367       +0.0017143027       
-0.00040789208       -0.014014311       +0.00036965589       +0.0092776050       +0.00080111147       +0.00058917047       
-0.0014004356       +0.037496545       +0.00033260267       -0.038915511       -0.00027636213       -0.0016297737       
-0.00018989075       -0.0088702929       -0.0022587943       +0.081454383       +0.00094497896       +0.0012573632       
+0.00083455627       -0.045661416       +0.0017011804       -0.038543409       -0.0024114415       -0.0019758215       
+0.00060282022       -0.026768073       -0.0025296163       +0.078131561       +0.0032344808       +0.0017965719       
+0.0023196587       -0.069616767       +0.0012002849       -0.030782266       +0.0030164482       +0.00051640187       
-0.0016415873       +0.032106656       -2.1609936e-06       +0.019537306       +0.0036845034       -0.00098129140       
-0.00044444544       -0.0063470680       +0.00023615905       -0.034750378       -0.0034722763       -0.00067983617       
+7.1706034e-05       -0.028722968       +0.00099144530       -0.049260606       +8.5263123e-05       +0.0018922689       
+0.0016119912       -0.071420738       +0.00037306537       +0.0056115923       -0.0033513092       -0.0024323799       
