  position(cm)    EK(MeV)  xrms size(cm)   yrms size(cm)   zrms size(cm)   zrms size(deg)   pxrms(mrad)   pyrms(mrad)   pzrms(mrad)   Nemitx(cm*mrad)  Nemity(cm*mrad)  Nemitz(cm*rad)  Nemitz(KeV*ns)    betax(cm/rad)  betay(cm*rad)  betaz(cm*rad)  alphax         alphay         alphaz         transm         MBtransm     
      0.0209681      0.0350004       0.132515       0.133359       0.218136         98.564        44.9253        45.2492        1.44261       0.199449       0.200297      0.0271675        0.85928        7.60299        7.66761        151.249        2.37568        2.40178     -0.0229619          10000          10000
      0.0369027      0.0350004       0.131856       0.132695       0.218137        98.5643        44.9004        45.2243        1.44279        0.19945       0.200298      0.0271668       0.859257        7.52754        7.59134        151.255        2.36022        2.38618     -0.0290385          10000          10000
      0.0528373      0.0350004       0.131198       0.132031       0.218138        98.5647         44.876        45.1989        1.44303        0.19945       0.200298      0.0271661       0.859236        7.45259        7.51559         151.26        2.34482        2.37057     -0.0351578          10000          10000
       0.068772      0.0350004       0.130541       0.131368       0.218139        98.5651         44.852        45.1728        1.44333       0.199451       0.200298      0.0271655       0.859218        7.37814        7.44034        151.265        2.32946        2.35495     -0.0413201          10000          10000
      0.0847066      0.0350004       0.129885       0.130706        0.21814        98.5656        44.8284        45.1461        1.44369       0.199451       0.200298      0.0271651       0.859204        7.30418        7.36558         151.27        2.31415        2.33931     -0.0475256          10000          10000
       0.100641      0.0350004        0.12923       0.130045       0.218141        98.5661        44.8049        45.1191        1.44411       0.199452       0.200299      0.0271647       0.859192         7.2307        7.29131        151.274        2.29886        2.32367     -0.0537748          10000          10000
       0.116576      0.0350004       0.128576       0.129386       0.218142        98.5668        44.7815        45.0919         1.4446       0.199453         0.2003      0.0271645       0.859184        7.15769        7.21752        151.278        2.28359        2.30804     -0.0600677          10000          10000
       0.132511      0.0350004       0.127923       0.128727       0.218144        98.5674        44.7579        45.0646        1.44515       0.199454       0.200301      0.0271643        0.85918        7.08516        7.14423        151.281        2.26833        2.29242     -0.0664049          10000          10000
       0.148445      0.0350004       0.127271        0.12807       0.218146        98.5682         44.734        45.0373        1.44577       0.199455       0.200302      0.0271643       0.859179        7.01313        7.07143        151.284        2.25307        2.27683     -0.0727865          10000          10000
        0.16438      0.0350004        0.12662       0.127413       0.218147         98.569        44.7096        45.0103        1.44646       0.199456       0.200303      0.0271644       0.859181        6.94158        6.99913        151.287        2.23781        2.26128     -0.0792129          10000          10000
       0.180314      0.0350004        0.12597       0.126758       0.218149        98.5699        44.6846        44.9837        1.44722       0.199457       0.200304      0.0271646       0.859188        6.87052        6.92733        151.289        2.22253        2.24577     -0.0856844          10000          10000
       0.196249      0.0350004       0.125322       0.126104       0.218152        98.5709        44.6587        44.9576        1.44805       0.199458       0.200305      0.0271649       0.859198        6.79995        6.85603        151.291        2.20722        2.23033     -0.0922012          10000          10000
       0.212184      0.0350004       0.124674       0.125451       0.218154        98.5719        44.6319        44.9323        1.44895       0.199459       0.200306      0.0271653       0.859212        6.72987        6.78523        151.292        2.19187        2.21495     -0.0987637          10000          10000
       0.228118      0.0350004       0.124028         0.1248       0.218156         98.573        44.6041        44.9078        1.44993        0.19946       0.200306      0.0271659       0.859229        6.66027        6.71491        151.293        2.17649        2.19965      -0.105372          10000          10000
       0.244053      0.0350004       0.123383       0.124149       0.218159        98.5742        44.5751        44.8842        1.45098       0.199462       0.200306      0.0271666       0.859251        6.59117         6.6451        151.294        2.16106        2.18442      -0.112027          10000          10000
       0.259988      0.0350004       0.122739       0.123499       0.218162        98.5754        44.5449        44.8616         1.4521       0.199463       0.200307      0.0271674       0.859277        6.52255        6.57577        151.293        2.14559        2.16928      -0.118728          10000          10000
       0.275922      0.0350004       0.122097       0.122851       0.218164        98.5767        44.5134        44.8402        1.45331       0.199465       0.200307      0.0271684       0.859307        6.45442        6.50692        151.293        2.13006        2.15421      -0.125476          10000          10000
       0.291857      0.0350004       0.121456       0.122204       0.218167        98.5781        44.4806        44.8197        1.45459       0.199467       0.200307      0.0271694       0.859341        6.38677        6.43854        151.292        2.11447        2.13923      -0.132271          10000          10000
       0.307791      0.0350004       0.120816       0.121557       0.218171        98.5795        44.4464        44.8004        1.45596       0.199469       0.200307      0.0271707        0.85938        6.31963        6.37065         151.29        2.09884        2.12433      -0.139113          10000          10000
       0.323726      0.0350004       0.120178       0.120912       0.218174         98.581         44.411        44.7823         1.4574       0.199471       0.200307       0.027172       0.859423        6.25299        6.30324        151.288        2.08317        2.10951      -0.146004          10000          10000
       0.339661      0.0350004       0.119541       0.120268       0.218178        98.5826        44.3743        44.7651        1.45893       0.199473       0.200307      0.0271735        0.85947        6.18683        6.23629        151.285        2.06745        2.09477      -0.152942          10000          10000
       0.355595      0.0350004       0.118905       0.119625       0.218181        98.5843        44.3365        44.7488        1.46055       0.199476       0.200307      0.0271752       0.859522        6.12119         6.1698        151.281        2.05169        2.08008      -0.159928          10000          10000
        0.37153      0.0350004       0.118271       0.118983       0.218185         98.586        44.2977        44.7332        1.46225       0.199478       0.200307       0.027177       0.859579        6.05603        6.10378        151.277        2.03591        2.06545      -0.166963          10000          10000
       0.387465      0.0350004       0.117639       0.118342       0.218189        98.5878        44.2581        44.7183        1.46404       0.199481       0.200307      0.0271789       0.859641        5.99138        6.03823        151.273        2.02011        2.05087      -0.174047          10000          10000
       0.403399      0.0350004       0.117008       0.117702       0.218193        98.5897        44.2178        44.7037        1.46592       0.199483       0.200307       0.027181       0.859707        5.92726        5.97314        151.267        2.00433        2.03633      -0.181179          10000          10000
       0.419334      0.0350004       0.116379       0.117064       0.218198        98.5916        44.1773        44.6893        1.46789       0.199484       0.200307      0.0271833       0.859779        5.86365         5.9085        151.262        1.98856         2.0218      -0.188361          10000          10000
       0.435269      0.0350004       0.115751       0.116426       0.218202        98.5937        44.1366        44.6748        1.46995       0.199486       0.200307      0.0271857       0.859856        5.80054        5.84433        151.255        1.97282        2.00728      -0.195593          10000          10000
       0.451203      0.0350004       0.115125       0.115789       0.218207        98.5958        44.0953        44.6607         1.4721       0.199488       0.200308      0.0271883       0.859938        5.73793        5.78061        151.248        1.95707        1.99278      -0.202875          10000          10000
       0.467138      0.0350004         0.1145       0.115154       0.218211         98.598        44.0536        44.6466        1.47435       0.199491        0.20031      0.0271911       0.860026        5.67579        5.71733         151.24        1.94133         1.9783      -0.210206          10000          10000
       0.483072      0.0350004       0.113877        0.11452       0.218216        98.6002        44.0121        44.6323         1.4767       0.199493       0.200312       0.027194       0.860119        5.61416        5.65449        151.231        1.92563         1.9638      -0.217588          10000          10000
       0.499007      0.0350004       0.113256       0.113887       0.218222        98.6026        43.9709        44.6172        1.47914       0.199495       0.200313      0.0271972       0.860218        5.55304        5.59215        151.221        1.90999        1.94928      -0.225021          10000          10000
       0.514942      0.0350004       0.112637       0.113255       0.218227         98.605        43.9308        44.6008        1.48169       0.199498       0.200313      0.0272005       0.860322        5.49242        5.53028        151.211        1.89444        1.93471      -0.232504          10000          10000
       0.530876      0.0350004       0.112019       0.112624       0.218233        98.6075        43.8921        44.5827        1.48434         0.1995       0.200314       0.027204       0.860433         5.4323        5.46887          151.2          1.879        1.92007      -0.240039          10000          10000
       0.546811      0.0350004       0.111402       0.111995       0.218238          98.61        43.8553        44.5628        1.48709       0.199501       0.200315      0.0272076        0.86055        5.37267        5.40794        151.188         1.8637        1.90534      -0.247625          10000          10000
       0.562746      0.0350004       0.110788       0.111367       0.218244        98.6127        43.8206        44.5403        1.48994       0.199503       0.200316      0.0272115       0.860673        5.31352        5.34748        151.175        1.84854        1.89048      -0.255262          10000          10000
        0.57868      0.0350004       0.110175       0.110741        0.21825        98.6154        43.7886         44.515         1.4929       0.199505       0.200317      0.0272156       0.860802        5.25485        5.28749        151.162        1.83356        1.87549      -0.262951          10000          10000
       0.594615      0.0350004       0.109563       0.110116       0.218256        98.6182        43.7596        44.4865        1.49597       0.199507       0.200318      0.0272199       0.860937        5.19667        5.22799        151.147        1.81877        1.86035      -0.270692          10000          10000
        0.61055      0.0350004       0.108953       0.109493       0.218263        98.6211        43.7338        44.4545        1.49914       0.199508       0.200319      0.0272244       0.861079        5.13896        5.16897        151.132        1.80418        1.84505      -0.278486          10000          10000
       0.626484      0.0350004       0.108344       0.108871       0.218269        98.6241        43.7114        44.4188        1.50243       0.199508        0.20032      0.0272291       0.861228        5.08171        5.11045        151.116        1.78979        1.82958      -0.286332          10000          10000
       0.642419      0.0350004       0.107737       0.108251       0.218276        98.6272        43.6925        44.3794        1.50583       0.199509       0.200321       0.027234       0.861384        5.02493        5.05242        151.099        1.77562        1.81394       -0.29423          10000          10000
       0.658353      0.0350004       0.107131       0.107633       0.218283        98.6303        43.6773         44.336        1.50934       0.199509       0.200322      0.0272392       0.861546        4.96861        4.99489        151.081        1.76165        1.79812      -0.302181          10000          10000
       0.674288      0.0350004       0.106527       0.107017        0.21829        98.6335        43.6657        44.2887        1.51296       0.199508       0.200324      0.0272445       0.861716        4.91273        4.93787        151.061         1.7479        1.78213      -0.310185          10000          10000
       0.690223      0.0350004       0.105924       0.106403       0.218298        98.6368        43.6577        44.2377        1.51671       0.199507       0.200325      0.0272501       0.861893         4.8573        4.88138        151.041        1.73435        1.76598      -0.318243          10000          10000
       0.706157      0.0350004       0.105322       0.105791       0.218305        98.6402         43.653         44.183        1.52057       0.199506       0.200326       0.027256       0.862078         4.8023        4.82539         151.02        1.72098        1.74968      -0.326353          10000          10000
       0.722092      0.0350004       0.104721       0.105182       0.218313        98.6437        43.6514        44.1248        1.52455       0.199505       0.200328      0.0272621       0.862271        4.74771        4.76993        150.998        1.70778        1.73324      -0.334518          10000          10000
