   indexX       indexY         intexZ      phi   
+1      +1     +32     +2.44328e-18     +0.219801
+1      +2     +32     -4.87276e-18     +0.329912
+1      +3     +32     -2.44409e-18     +0.440265
+1      +4     +32     -2.38674e-18     +0.550921
+1      +5     +32     +1.64545e-18     +0.661927
+1      +6     +32     -1.84958e-19     +0.773308
+1      +7     +32     +2.32276e-19     +0.885067
+1      +8     +32     -1.62865e-18     +0.997174
+1      +9     +32     -2.36116e-18     +1.10957
+1      +10     +32     +7.61125e-18     +1.22216
+1      +11     +32     -2.07660e-18     +1.33479
+1      +12     +32     -6.49800e-19     +1.44729
+1      +13     +32     -1.76760e-18     +1.55941
+1      +14     +32     +6.36528e-19     +1.67087
+1      +15     +32     +9.11613e-19     +1.78133
+1      +16     +32     -2.16908e-18     +1.89036
+1      +17     +32     -3.08797e-18     +1.99753
+1      +18     +32     +1.88733e-18     +2.10231
+1      +19     +32     +2.42661e-18     +2.20413
+1      +20     +32     +2.42680e-19     +2.30238
+1      +21     +32     +7.91806e-18     +2.39639
+1      +22     +32     +8.53536e-19     +2.48549
+1      +23     +32     -6.79891e-18     +2.56895
+1      +24     +32     +3.46369e-18     +2.64606
+1      +25     +32     +2.79414e-18     +2.71612
+1      +26     +32     +3.86626e-18     +2.77845
+1      +27     +32     -4.57195e-18     +2.83240
+1      +28     +32     +1.11078e-18     +2.87740
+1      +29     +32     -7.50911e-19     +2.91295
+1      +30     +32     +3.53681e-18     +2.93865
+1      +31     +32     -5.34006e-18     +2.95419
+1      +32     +32     -2.64203e-17     +2.95939
+1      +33     +32     -5.34006e-18     +2.95419
+1      +34     +32     +3.53681e-18     +2.93865
+1      +35     +32     -1.38670e-18     +2.91295
+1      +36     +32     -1.74444e-18     +2.87740
+1      +37     +32     -1.51516e-18     +2.83240
+1      +38     +32     +1.44842e-18     +2.77845
+1      +39     +32     +2.22941e-18     +2.71612
+1      +40     +32     +6.78049e-19     +2.64606
+1      +41     +32     -6.05876e-18     +2.56895
+1      +42     +32     +3.75262e-19     +2.48549
+1      +43     +32     +7.69896e-18     +2.39639
+1      +44     +32     +9.37737e-19     +2.30238
+1      +45     +32     +2.33371e-18     +2.20413
+1      +46     +32     +2.91738e-18     +2.10231
+1      +47     +32     -3.71133e-18     +1.99753
+1      +48     +32     -2.31899e-18     +1.89036
+1      +49     +32     +9.68338e-19     +1.78133
+1      +50     +32     +9.89114e-19     +1.67087
+1      +51     +32     -1.52447e-18     +1.55941
+1      +52     +32     -8.60172e-19     +1.44729
+1      +53     +32     -2.31593e-18     +1.33479
+1      +54     +32     +7.55710e-18     +1.22216
+1      +55     +32     -2.44806e-18     +1.10957
+1      +56     +32     -1.72936e-18     +0.997174
+1      +57     +32     +3.29281e-19     +0.885067
+1      +58     +32     -1.79916e-19     +0.773308
+1      +59     +32     +1.71406e-18     +0.661927
+1      +60     +32     -2.25765e-18     +0.550921
+1      +61     +32     -2.49257e-18     +0.440265
+1      +62     +32     -4.90236e-18     +0.329912
+1      +63     +32     +2.43744e-18     +0.219801
+2      +1     +32     -9.40893e-19     +0.329909
+2      +2     +32     +1.97505e-18     +0.495195
+2      +3     +32     +3.66137e-18     +0.660863
+2      +4     +32     +4.75584e-18     +0.827012
+2      +5     +32     +1.63780e-18     +0.993718
+2      +6     +32     +2.21137e-18     +1.16103
+2      +7     +32     +1.06971e-18     +1.32895
+2      +8     +32     +7.60410e-18     +1.49744
+2      +9     +32     -1.65463e-18     +1.66643
+2      +10     +32     +4.39134e-18     +1.83577
+2      +11     +32     -2.52943e-18     +2.00525
+2      +12     +32     -1.00841e-18     +2.17460
+2      +13     +32     -6.47764e-18     +2.34347
+2      +14     +32     +5.01273e-19     +2.51143
+2      +15     +32     +3.01112e-18     +2.67795
+2      +16     +32     +9.37737e-19     +2.84244
+2      +17     +32     -4.10308e-19     +3.00419
+2      +18     +32     -3.12373e-18     +3.16244
+2      +19     +32     +1.56354e-18     +3.31631
+2      +20     +32     -3.05737e-18     +3.46487
+2      +21     +32     +3.08456e-19     +3.60712
+2      +22     +32     +6.79659e-19     +3.74200
+2      +23     +32     +2.84658e-18     +3.86843
+2      +24     +32     +2.77456e-18     +3.98530
