   posx(m)        px/pz(rad)         posy(m)       py/pz(rad)         posz(m)           pz/pz(rad)   
-0.0015437920       -0.034499614       -0.00029387484        +0.13729967       +5.6533245e-06       +2.2380270e-05       
+0.0018303942       +0.091026933       +0.00019176166       -0.050802801       -8.4261881e-06       +6.7337858e-05       
+0.00040531518       -0.016185232       +0.00027126451        -0.20517644       -8.1919835e-06       -0.00016027871       
+0.00028127755       -0.044531106       -0.0020054206       -0.041793247       -3.4716166e-06       -1.9616642e-05       
+0.0012923571        +0.10393392       -0.00091101460       -0.094521837       -7.4923875e-06       +0.00015178441       
+0.00029570680        -0.19245649       +0.00072607892       -0.039397324       +9.3789250e-06       +3.3348308e-05       
-0.00065769391        +0.11015637       -0.0012650589        -0.11078901       -9.1856594e-06       +3.4710660e-05       
+0.00036736825        +0.20812815       -8.2624724e-05       -0.0016705928       +8.4150257e-06       -6.4299866e-05       
+0.00017947888        +0.12173872       +0.0014082372       -0.098814065       +9.5143078e-06       -0.00011275270       
+0.0016669537       +0.025673044       +0.0010563094       -0.071649385       -3.3716296e-06       -0.00012603113       
-0.00072011586       +0.016099497       -0.0018436604       +0.072816778       -8.1273947e-06       -6.2605738e-05       
-0.0019000253       -0.037363400       -0.00084784363       -0.0072530759       -2.9777068e-06       +0.00017137384       
-0.00036962397       +0.0027158332       -0.0019927075       +0.060461206       -7.8446026e-06       +8.7303505e-05       
-0.00096457678       +0.048146246       -0.00048324695        +0.17544390       -5.1379979e-06       +0.00010605433       
+0.00068007334        -0.16704252       -0.00089628447       +0.064626026       -1.6012000e-05       -1.6450634e-05       
+0.00064911492       -0.014908830       +0.00091321925        +0.17878063       +1.0471943e-06       +0.00013558287       
-0.00073499522       -0.050728860       -0.0019131778       -0.012644847       +5.8398410e-06       -1.2419597e-05       
-0.0012980157       -0.091513962       -0.00015156858        -0.13887044       -2.6797714e-06       -3.7543044e-05       
-2.2033794e-05       +0.037800888       +0.0020136284       -0.052509288       +1.4946005e-05       +3.7812970e-05       
-0.00054338040       -0.053270306       +0.0019632023       -0.020149473       -1.5539735e-05       -6.2579406e-05       
-0.0010016464       -0.0010795489       -0.0017670176       +0.058994494       -1.5734659e-06       +0.00016602396       
-0.00096789616        -0.16035331       +0.00097463174       -0.012549760       -1.3696433e-05       +8.1641604e-05       
-0.00073858889       -0.081545374       -0.0017699517       +0.036137345       +9.3849267e-06       +1.6177654e-05       
