  position(cm)    EK(MeV)  xrms size(cm)   yrms size(cm)   zrms size(cm)   zrms size(deg)   pxrms(mrad)   pyrms(mrad)   pzrms(mrad)   Nemitx(cm*mrad)  Nemity(cm*mrad)  Nemitz(cm*rad)  Nemitz(KeV*ns)    betax(cm/rad)  betay(cm*rad)  betaz(cm*rad)  alphax         alphay         alphaz         transm         MBtransm     
      0.0999569       0.149999       0.102727       0.110458    0.000942856       0.033943        106.028        104.678      0.0930626        1.93543        2.05363    1.56797e-05    0.000169326       0.975007         1.0624        10.1383      -0.112745      -0.116826       -0.03699           1000           1000
       0.199956       0.149999        0.10443       0.112175    0.000943184      0.0339548        106.008        104.701      0.0983773        1.93544        2.05363    1.65802e-05    0.000179051        1.00759        1.09568        9.59437      -0.214815      -0.214192     -0.0380993           1000           1000
       0.299955       0.149998        0.10714       0.114845    0.000943575      0.0339689        105.968        104.744       0.108796        1.93544        2.05363    1.83414e-05     0.00019807        1.06057        1.14846        8.68029      -0.316748      -0.311696     -0.0412516           1000           1000
       0.399954       0.149998       0.110783       0.118405    0.000944084      0.0339872         105.91        104.806       0.123593        1.93544        2.05364    2.08416e-05     0.00022507        1.13391        1.22077        7.64722      -0.418472      -0.409408     -0.0474321           1000           1000
       0.499953       0.149998       0.115267       0.122781    0.000944792      0.0340127        105.832        104.888       0.142114        1.93545        2.05364    2.39708e-05    0.000258862        1.22755        1.31265        6.65892      -0.519912      -0.507399     -0.0570288           1000           1000
       0.599952       0.149998       0.120495        0.12789    0.000945802      0.0340491        105.736        104.989       0.163902        1.93545        2.05364    2.76525e-05    0.000298621        1.34144        1.42418        5.78469      -0.620995       -0.60574     -0.0701198           1000           1000
       0.699951       0.149998       0.126372       0.133654     0.00094725      0.0341012        105.621        105.109       0.188692        1.93545        2.05364    3.18423e-05    0.000343867        1.47548        1.55544        5.03893      -0.721649      -0.704502      -0.086702           1000           1000
        0.79995       0.149998       0.132808       0.139994    0.000949308      0.0341753        105.487        105.249        0.21635        1.93546        2.05364    3.65187e-05    0.000394367        1.62959        1.70651        4.41279        -0.8218      -0.803757      -0.106796           1000           1000
       0.899949       0.149998       0.139721       0.146841    0.000952192      0.0342792        105.335        105.409       0.246828        1.93546        2.05364    4.16742e-05    0.000450042        1.80364        1.87751        3.89041      -0.921377      -0.903576      -0.130475           1000           1000
       0.999948       0.149997       0.147039       0.154131    0.000956163      0.0344222        105.163        105.587       0.280125        1.93546        2.05364      4.731e-05    0.000510903        1.99752        2.06856        3.45561       -1.02031       -1.00403      -0.157867           1000           1000
        1.09995       0.149997         0.1547       0.161809    0.000961542      0.0346158        104.973        105.786       0.316265        1.93547        2.05364    5.34318e-05    0.000577011         2.2111        2.27979        3.09421       -1.11852        -1.1052      -0.189144           1000           1000
        1.19995       0.149997        0.16265       0.169828    0.000968705      0.0348737        104.764        106.004       0.355281        1.93547        2.05363     6.0048e-05     0.00064846         2.4442        2.51136        2.79446       -1.21594       -1.20715      -0.224515           1000           1000
        1.29994       0.149996       0.170845       0.178147    0.000978095      0.0352118        104.537        106.241       0.397215        1.93547        2.05363    6.71688e-05    0.000725356        2.69668        2.76343        2.54688       -1.31251       -1.30995      -0.264211           1000           1000
        1.39994       0.149996       0.179244       0.186732     0.00099022      0.0356484        104.291        106.498       0.442104        1.93548        2.05363    7.48051e-05    0.000807819        2.96835        3.03619        2.34394       -1.40815       -1.41369      -0.308483           1000           1000
        1.49994       0.149995       0.187815       0.195553     0.00100565      0.0362039        104.027        106.775       0.489988        1.93548        2.05362    8.29689e-05    0.000895979        3.25901        3.32982        2.17967       -1.50278       -1.51843      -0.357588           1000           1000
        1.59994       0.149995       0.196529       0.204585       0.001025      0.0369008        103.744        107.072       0.540899        1.93548        2.05362    9.16731e-05    0.000989973        3.56845        3.64454        2.04938       -1.59636       -1.62425       -0.41179           1000           1000
